num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_agent_steps_sampled_this_iter,num_agent_steps_trained_this_iter,num_agent_steps_sampled_throughput_per_sec,num_agent_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,custom_metrics/train_policy_loss_assault,custom_metrics/train_vf_loss_assault,custom_metrics/train_entropy_assault,custom_metrics/train_total_loss_assault,custom_metrics/train_policy_loss_defend,custom_metrics/train_vf_loss_defend,custom_metrics/train_entropy_defend,custom_metrics/train_total_loss_defend,custom_metrics/train_policy_loss_support,custom_metrics/train_vf_loss_support,custom_metrics/train_entropy_support,custom_metrics/train_total_loss_support,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/defend_policy/num_agent_steps_trained,info/learner/defend_policy/num_grad_updates_lifetime,info/learner/defend_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/assault_policy/num_agent_steps_trained,info/learner/assault_policy/num_grad_updates_lifetime,info/learner/assault_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/support_policy/num_agent_steps_trained,info/learner/support_policy/num_grad_updates_lifetime,info/learner/support_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/defend_policy/learner_stats/allreduce_latency,info/learner/defend_policy/learner_stats/grad_gnorm,info/learner/defend_policy/learner_stats/cur_kl_coeff,info/learner/defend_policy/learner_stats/cur_lr,info/learner/defend_policy/learner_stats/total_loss,info/learner/defend_policy/learner_stats/policy_loss,info/learner/defend_policy/learner_stats/vf_loss,info/learner/defend_policy/learner_stats/vf_explained_var,info/learner/defend_policy/learner_stats/kl,info/learner/defend_policy/learner_stats/entropy,info/learner/defend_policy/learner_stats/entropy_coeff,info/learner/assault_policy/learner_stats/allreduce_latency,info/learner/assault_policy/learner_stats/grad_gnorm,info/learner/assault_policy/learner_stats/cur_kl_coeff,info/learner/assault_policy/learner_stats/cur_lr,info/learner/assault_policy/learner_stats/total_loss,info/learner/assault_policy/learner_stats/policy_loss,info/learner/assault_policy/learner_stats/vf_loss,info/learner/assault_policy/learner_stats/vf_explained_var,info/learner/assault_policy/learner_stats/kl,info/learner/assault_policy/learner_stats/entropy,info/learner/assault_policy/learner_stats/entropy_coeff,info/learner/support_policy/learner_stats/allreduce_latency,info/learner/support_policy/learner_stats/grad_gnorm,info/learner/support_policy/learner_stats/cur_kl_coeff,info/learner/support_policy/learner_stats/cur_lr,info/learner/support_policy/learner_stats/total_loss,info/learner/support_policy/learner_stats/policy_loss,info/learner/support_policy/learner_stats/vf_loss,info/learner/support_policy/learner_stats/vf_explained_var,info/learner/support_policy/learner_stats/kl,info/learner/support_policy/learner_stats/entropy,info/learner/support_policy/learner_stats/entropy_coeff
0,0,0,8040,8040,201,201,8040,8040,68.82100993079814,68.82100993079814,8040,8040,8040,8040,8040,False,1,default,2026-03-04_17-55-26,1772646926,116.82493782043457,116.82493782043457,7,f75a3a54acca,172.18.0.2,116.82493782043457,1,0.019257530912346693,1.115919020913896,-0.4696154899540402,0.6036866747197651,0.03863696315481017,0.9483892937501271,-0.4755701094865799,0.5424600541591644,0.03304721931926906,0.7791687548160553,-0.48056610822677615,0.4537399083375931,201,201,8040,8040,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,116824.799,0.012,116824.738,115952.914,865.142,232.332,0.004,201,201,8040,8040,3.4401315789473674,6.497368421052632,[],[],482.4,15.5,14.5,459.42857142857144,21.5,20.5,482.4,15.5,14.5,0.0,0.5,0.20000000000000007,0.0003,0.5424600541591644,0.03863696315481017,0.9483892937501271,0.004920063416163126,0.1243637694666783,-0.4755701094865799,0.010000000000000002,0.0,0.5,0.19999999999999996,0.0003,0.6036866747197651,0.019257530912346693,1.115919020913896,0.10169818571635655,0.10886745687041964,-0.4696154899540402,0.01,0.0,0.5,0.20000000000000007,0.0003,0.4537399083375931,0.03304721931926906,0.7791687548160553,0.11901485919952393,0.1315132774412632,-0.48056610822677615,0.010000000000000002
0,0,0,16080,16080,402,402,8040,8040,60.24962317235147,60.24962317235147,16080,16080,16080,8040,16080,False,2,default,2026-03-04_17-57-39,1772647059,133.44497203826904,250.2699098587036,7,f75a3a54acca,172.18.0.2,250.2699098587036,2,0.0003492898401981663,0.7685606068088895,-0.4482773272764115,0.4032275378704071,-0.002970460585008065,0.8940393169720967,-0.4590305477380753,0.46122433841228483,-0.002702942055960496,1.1428272207578023,-0.4740658164024353,0.5856297542651494,402,402,16080,16080,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,125134.813,0.014,125134.755,124277.392,850.924,236.214,0.003,402,402,16080,16080,2.5217142857142862,6.600571428571429,[],[],482.4,45.5,14.5,459.42857142857144,63.5,20.5,482.4,45.5,14.5,0.0,0.5,0.3000000000000001,0.0002983919999999999,0.46122433841228483,-0.002970460585008065,0.8940393169720967,0.16892677148183186,0.04215451650573717,-0.4590305477380753,0.009865999999999996,0.0,0.5,0.3000000000000001,0.00029839199999999997,0.4032275378704071,0.0003492898401981663,0.7685606068088895,0.4311889736425309,0.047250808065568674,-0.4482773272764115,0.009866,0.0,0.5,0.3000000000000001,0.0002983919999999999,0.5856297542651494,-0.002702942055960496,1.1428272207578023,0.4313650965690613,0.04080646215588786,-0.4740658164024353,0.009865999999999996
0,0,0,24120,24120,603,603,8040,8040,61.182946882109725,61.182946882109725,24120,24120,24120,8040,24120,False,3,default,2026-03-04_17-59-51,1772647191,131.4098129272461,381.6797227859497,7,f75a3a54acca,172.18.0.2,381.6797227859497,3,-0.01161296166191321,0.6365177588803428,-0.43344240883986157,0.3271247850997107,-0.011860550520941615,0.8181949039300283,-0.45090811252593993,0.4163447171449661,-0.0051330336165847255,0.9523488442103069,-0.46933625439802806,0.48816041350364686,603,603,24120,24120,9984.58165665834,9984.58165665834,9984.58165665834,500.0,500,0,1,9984.58165665834,9984.58165665834,9984.58165665834,1,127226.267,0.015,127226.209,126385.732,834.119,240.973,0.003,603,603,24120,24120,2.6732558139534883,6.600581395348838,[9984.58165665834],[500],482.4,75.5,14.5,459.42857142857144,105.5,20.5,482.4,75.5,14.5,0.0,0.5,0.4499999999999999,0.00029678399999999986,0.4163447171449661,-0.011860550520941615,0.8181949039300283,0.0836492637793223,0.03271015472710133,-0.45090811252593993,0.009732000000000003,0.0,0.5,0.45000000000000007,0.00029678399999999997,0.3271247850997107,-0.01161296166191321,0.6365177588803428,0.5508646624428886,0.03613466877002446,-0.43344240883986157,0.009732000000000003,0.0,0.5,0.4499999999999999,0.00029678399999999986,0.48816041350364686,-0.0051330336165847255,0.9523488442103069,0.517021918296814,0.027892101022492472,-0.46933625439802806,0.009732000000000003
0,0,0,32160,32160,804,804,8040,8040,60.25118729068056,60.25118729068056,32160,32160,32160,8040,32160,False,4,default,2026-03-04_18-02-05,1772647325,133.44216799736023,515.1218907833099,7,f75a3a54acca,172.18.0.2,515.1218907833099,4,-0.009002079499796742,0.47044707408973147,-0.4157069609278724,0.25218421823921655,-0.013876229679832855,0.22684346040089926,-0.4368103583653768,0.12175748025377592,-0.007812882494181394,0.2982753574848175,-0.46105852325757346,0.16397353733579317,804,804,32160,32160,9984.58165665834,9984.58165665834,9984.58165665834,500.0,500,0,0,9984.58165665834,9984.58165665834,9984.58165665834,0,128780.041,0.014,128779.986,127941.383,831.551,241.717,0.004,804,804,32160,32160,2.472,6.64114285714286,[9984.58165665834],[500],482.4,105.5,14.5,459.42857142857144,147.5,20.5,482.4,105.5,14.5,0.0,0.5,0.6750000000000003,0.00029517599999999997,0.12175748025377592,-0.013876229679832855,0.22684346040089926,0.5565283874670665,0.0266955190920271,-0.4368103583653768,0.009597999999999999,0.0,0.5,0.675,0.0002951759999999999,0.25218421823921655,-0.009002079499796742,0.47044707408973147,0.5768296179317293,0.03255230841196386,-0.4157069609278724,0.009598,0.0,0.5,0.6750000000000003,0.00029517599999999997,0.16397353733579317,-0.007812882494181394,0.2982753574848175,0.7875267803668976,0.026997775211930274,-0.46105852325757346,0.009597999999999999
0,0,0,40200,40200,1005,1005,8040,8040,59.56105681474183,59.56105681474183,40200,40200,40200,8040,40200,False,5,default,2026-03-04_18-04-20,1772647460,134.9881980419159,650.1100888252258,7,f75a3a54acca,172.18.0.2,650.1100888252258,5,-0.010455868514933778,0.6135475351696923,-0.40368546829337165,0.324395942900862,-0.017172668342633795,0.2990341698129972,-0.4225251257419586,0.15778574471672377,-0.006646174215711653,0.3792241260409355,-0.4502268671989441,0.20452175612250964,1005,1005,40200,40200,9984.58165665834,5839.820550913346,7912.201103785843,500.0,1000,0,1,9984.58165665834,5839.820550913346,7912.201103785843,1,130021.541,0.013,130021.486,129184.716,829.663,242.267,0.004,1005,1005,40200,40200,2.432768361581921,6.6220338983050855,"[9984.58165665834, 5839.820550913346]","[500, 500]",482.4,135.5,14.5,459.42857142857144,189.5,20.5,482.4,135.5,14.5,0.0,0.5,1.0125,0.0002935679999999999,0.15778574471672377,-0.017172668342633795,0.2990341698129972,0.6852794349193573,0.021177827825886196,-0.4225251257419586,0.009464000000000002,0.0,0.5,1.0125000000000004,0.0002935679999999999,0.324395942900862,-0.010455868514933778,0.6135475351696923,0.6993360561983926,0.023958086799428287,-0.40368546829337165,0.009464000000000002,0.0,0.5,1.0125,0.0002935679999999999,0.20452175612250964,-0.006646174215711653,0.3792241260409355,0.860309499502182,0.017081394094566348,-0.4502268671989441,0.009464000000000002
0,0,0,48240,48240,1206,1206,8040,8040,60.09818685445398,60.09818685445398,48240,48240,48240,8040,48240,False,6,default,2026-03-04_18-06-34,1772647594,133.78174662590027,783.8918354511261,7,f75a3a54acca,172.18.0.2,783.8918354511261,6,-0.02383131833214845,0.7162343802906218,-0.38963366122472853,0.36262245795556475,-0.015561489934528557,0.7040059308211009,-0.4103458970785141,0.3603467792272568,-0.016117840469814838,0.5598302076260249,-0.4416237344344457,0.2851930032173792,1206,1206,48240,48240,9984.58165665834,5839.820550913346,7912.201103785843,500.0,1000,0,0,9984.58165665834,5839.820550913346,7912.201103785843,0,130648.131,0.013,130648.078,129810.214,830.706,241.963,0.004,1206,1206,48240,48240,2.6482954545454547,6.620454545454546,"[9984.58165665834, 5839.820550913346]","[500, 500]",482.4,165.5,14.5,459.42857142857144,231.5,20.5,482.4,165.5,14.5,0.0,0.5,1.5187499999999996,0.00029196,0.3603467792272568,-0.015561489934528557,0.7040059308211009,0.1820318082968394,0.013219278005271918,-0.4103458970785141,0.009330000000000001,0.0,0.5,1.5187500000000003,0.00029196,0.36262245795556475,-0.02383131833214845,0.7162343802906218,0.41257613471576143,0.016264232426086284,-0.38963366122472853,0.00933,0.0,0.5,1.0125,0.00029196,0.2851930032173792,-0.016117840469814838,0.5598302076260249,0.5102574745814006,0.017062112562416586,-0.4416237344344457,0.009330000000000001
0,0,0,56280,56280,1407,1407,8040,8040,59.70476563415204,59.70476563415204,56280,56280,56280,8040,56280,False,7,default,2026-03-04_18-08-48,1772647728,134.6634635925293,918.5552990436554,7,f75a3a54acca,172.18.0.2,918.5552990436554,7,-0.012132093132961364,0.8282941650776636,-0.3828769659712201,0.4305111389784586,-0.013370014696071545,0.665287337700526,-0.40882256130377453,0.34174248377482097,-0.008331396554907163,0.9125387926896413,-0.4288426806529363,0.4709602504968643,1407,1407,56280,56280,9984.58165665834,5839.820550913346,7912.201103785843,500.0,1000,0,0,9984.58165665834,5839.820550913346,7912.201103785843,0,131221.63,0.013,131221.577,130372.839,841.603,238.83,0.004,1407,1407,56280,56280,2.3130681818181817,6.6647727272727275,"[9984.58165665834, 5839.820550913346]","[500, 500]",482.4,195.5,14.5,459.42857142857144,273.5,20.5,482.4,195.5,14.5,0.0,0.5,1.5187499999999996,0.000290352,0.34174248377482097,-0.013370014696071545,0.665287337700526,0.3672825932502747,0.012318877220968716,-0.40882256130377453,0.009196,0.0,0.5,1.5187500000000003,0.000290352,0.4305111389784586,-0.012132093132961364,0.8282941650776636,0.5198911215577807,0.016444584184985917,-0.3828769659712201,0.009195999999999998,0.0,0.5,1.0125,0.000290352,0.4709602504968643,-0.008331396554907163,0.9125387926896413,0.41851555903752646,0.018843070373501785,-0.4288426806529363,0.009196
0,0,0,64320,64320,1608,1608,8040,8040,60.46275794031479,60.46275794031479,64320,64320,64320,8040,64320,False,8,default,2026-03-04_18-11-02,1772647862,132.9753212928772,1051.5306203365326,7,f75a3a54acca,172.18.0.2,1051.5306203365326,8,-0.012820983227963248,1.170222397361483,-0.37745230112757,0.5979934959184556,-0.020605578366667033,0.617274883389473,-0.40378810167312623,0.3084509660800298,-0.015061046602204442,1.0404708445072175,-0.41702891488869986,0.5270130296548208,1608,1608,64320,64320,9984.58165665834,5839.820550913346,8504.516592135185,500.0,1500,0,1,9984.58165665834,5839.820550913346,8504.516592135185,1,131440.73,0.013,131440.677,130677.891,755.8,265.943,0.004,1608,1608,64320,64320,2.6365168539325845,6.63988764044944,"[9984.58165665834, 5839.820550913346, 9689.147568833869]","[500, 500, 500]",482.4,225.5,14.5,459.42857142857144,315.5,20.5,482.4,225.5,14.5,0.0,0.5,1.5187499999999996,0.00028874399999999996,0.3084509660800298,-0.020605578366667033,0.617274883389473,0.35436967611312864,0.01103537738781597,-0.40378810167312623,0.009062000000000004,0.0,0.5,1.5187500000000003,0.000288744,0.5979934959184556,-0.012820983227963248,1.170222397361483,0.5130730470021566,0.014671812004442992,-0.37745230112757,0.009062,0.0,0.5,1.0125,0.00028874399999999996,0.5270130296548208,-0.015061046602204442,1.0404708445072175,0.6128601729869843,0.017836584263325978,-0.41702891488869986,0.009062000000000004
0,0,0,72360,72360,1809,1809,8040,8040,61.67568545414541,61.67568545414541,72360,72360,72360,8040,72360,False,9,default,2026-03-04_18-13-16,1772647996,130.36001753807068,1181.8906378746033,7,f75a3a54acca,172.18.0.2,1181.8906378746033,9,-0.010287139154527159,1.1112065315246582,-0.3758620101781118,0.5720998687403542,-0.01819157263574501,0.2969195644060771,-0.40055250326792396,0.1513373486697674,-0.005839183585097393,0.9657581806182861,-0.40764146745204927,0.49835556546847026,1809,1809,72360,72360,9984.58165665834,5839.820550913346,8504.516592135185,500.0,1500,0,0,9984.58165665834,5839.820550913346,8504.516592135185,0,131320.573,0.013,131320.521,130550.275,763.161,263.378,0.004,1809,1809,72360,72360,2.380571428571429,6.610857142857143,"[9984.58165665834, 5839.820550913346, 9689.147568833869]","[500, 500, 500]",482.4,255.5,14.5,459.42857142857144,357.5,20.5,482.4,255.5,14.5,0.0,0.5,1.5187499999999996,0.00028713600000000006,0.1513373486697674,-0.01819157263574501,0.2969195644060771,0.6296499848365784,0.0115180282984511,-0.40055250326792396,0.008927999999999998,0.0,0.5,1.5187500000000003,0.00028713599999999996,0.5720998687403542,-0.010287139154527159,1.1112065315246582,0.6434881559440068,0.015425876112723407,-0.3758620101781118,0.008928,0.0,0.5,1.0125,0.00028713600000000006,0.49835556546847026,-0.005839183585097393,0.9657581806182861,0.7591116269429524,0.0174580056569539,-0.40764146745204927,0.008927999999999998
0,0,0,80400,80400,2010,2010,8040,8040,58.07289990510385,58.07289990510385,80400,80400,80400,8040,80400,False,10,default,2026-03-04_18-15-34,1772648134,138.44785284996033,1320.3384907245636,7,f75a3a54acca,172.18.0.2,1320.3384907245636,10,-0.010449000246201953,1.0520793823968797,-0.37493835389614105,0.5417982637882233,-0.017832196969538926,0.4469069461027781,-0.4000975161790848,0.22755505045255026,-0.009456986747682094,0.9377959688504537,-0.40930747191111244,0.48010925551255546,2010,2010,80400,80400,9984.58165665834,5839.820550913346,8714.683283946026,500.0,2000,0,1,9984.58165665834,5839.820550913346,8714.683283946026,1,132033.185,0.013,132033.132,131250.505,775.266,259.266,0.004,2010,2010,80400,80400,2.6792134831460674,6.632022471910112,"[9984.58165665834, 5839.820550913346, 9689.147568833869, 9345.183359378552]","[500, 500, 500, 500]",482.4,285.5,14.5,459.42857142857144,399.5,20.5,482.4,285.5,14.5,0.0,0.5,1.5187499999999996,0.000285528,0.22755505045255026,-0.017832196969538926,0.4469069461027781,0.5291668931643169,0.012125316385451394,-0.4000975161790848,0.008794,0.0,0.5,1.5187500000000003,0.00028552799999999995,0.5417982637882233,-0.010449000246201953,1.0520793823968797,0.6282714435032436,0.015085024900188381,-0.37493835389614105,0.008794,0.0,0.5,1.0125,0.000285528,0.48010925551255546,-0.009456986747682094,0.9377959688504537,0.810326337814331,0.01685807533243254,-0.40930747191111244,0.008794
