num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_agent_steps_sampled_this_iter,num_agent_steps_trained_this_iter,num_agent_steps_sampled_throughput_per_sec,num_agent_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/assault_policy/num_agent_steps_trained,info/learner/assault_policy/num_grad_updates_lifetime,info/learner/assault_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/defend_policy/num_agent_steps_trained,info/learner/defend_policy/num_grad_updates_lifetime,info/learner/defend_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/support_policy/num_agent_steps_trained,info/learner/support_policy/num_grad_updates_lifetime,info/learner/support_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/assault_policy/learner_stats/allreduce_latency,info/learner/assault_policy/learner_stats/grad_gnorm,info/learner/assault_policy/learner_stats/cur_kl_coeff,info/learner/assault_policy/learner_stats/cur_lr,info/learner/assault_policy/learner_stats/total_loss,info/learner/assault_policy/learner_stats/policy_loss,info/learner/assault_policy/learner_stats/vf_loss,info/learner/assault_policy/learner_stats/vf_explained_var,info/learner/assault_policy/learner_stats/kl,info/learner/assault_policy/learner_stats/entropy,info/learner/assault_policy/learner_stats/entropy_coeff,info/learner/defend_policy/learner_stats/allreduce_latency,info/learner/defend_policy/learner_stats/grad_gnorm,info/learner/defend_policy/learner_stats/cur_kl_coeff,info/learner/defend_policy/learner_stats/cur_lr,info/learner/defend_policy/learner_stats/total_loss,info/learner/defend_policy/learner_stats/policy_loss,info/learner/defend_policy/learner_stats/vf_loss,info/learner/defend_policy/learner_stats/vf_explained_var,info/learner/defend_policy/learner_stats/kl,info/learner/defend_policy/learner_stats/entropy,info/learner/defend_policy/learner_stats/entropy_coeff,info/learner/support_policy/learner_stats/allreduce_latency,info/learner/support_policy/learner_stats/grad_gnorm,info/learner/support_policy/learner_stats/cur_kl_coeff,info/learner/support_policy/learner_stats/cur_lr,info/learner/support_policy/learner_stats/total_loss,info/learner/support_policy/learner_stats/policy_loss,info/learner/support_policy/learner_stats/vf_loss,info/learner/support_policy/learner_stats/vf_explained_var,info/learner/support_policy/learner_stats/kl,info/learner/support_policy/learner_stats/entropy,info/learner/support_policy/learner_stats/entropy_coeff
0,0,0,8040,8040,201,201,8040,8040,72.25790647870619,72.25790647870619,8040,8040,8040,8040,8040,False,1,default,2026-03-08_10-06-24,1772964384,111.26829743385315,111.26829743385315,7,615c6739a8df,172.18.0.2,111.26829743385315,1,201,201,8040,8040,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,111268.111,0.016,111268.038,110323.227,940.126,213.801,0.004,201,201,8040,8040,3.8906666666666663,6.253999999999999,[],[],459.42857142857144,21.5,20.5,482.4,15.5,14.5,482.4,15.5,14.5,0.0,0.5,0.19999999999999996,0.0003,0.3131233166371073,0.012976180052473432,0.5389543785935357,0.0770907515571231,0.13005097724852108,-0.46597558898585184,0.01,0.0,0.5,0.20000000000000007,0.0003,0.5180746217568716,0.02542800595983863,0.9212192078431447,0.019000818332036335,0.13646069690585136,-0.4744863440593084,0.010000000000000002,0.0,0.5,0.20000000000000007,0.0003,0.8269836246967316,0.012824588594958186,1.5754135211308797,0.10991790692011515,0.10848811628917852,-0.47546434998512266,0.010000000000000002
0,0,0,16080,16080,402,402,8040,8040,60.41264806318665,60.41264806318665,16080,16080,16080,8040,16080,False,2,default,2026-03-08_10-08-37,1772964517,133.0848581790924,244.35315561294556,7,615c6739a8df,172.18.0.2,244.35315561294556,2,402,402,16080,16080,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,122176.417,0.015,122176.353,121142.416,1028.045,195.517,0.004,402,402,16080,16080,2.9127071823204416,6.435911602209945,[],[],459.42857142857144,63.5,20.5,482.4,45.5,14.5,482.4,45.5,14.5,0.0,0.5,0.3000000000000001,0.00029839199999999997,0.3073105464378993,-0.006265217776498979,0.5902868743453707,0.31606598127455937,0.047080632928381896,-0.43666561657474157,0.009866,0.0,0.5,0.3000000000000001,0.0002983919999999999,0.6232026318709055,-0.0029377960017882288,1.2149896462758383,0.10719067851702373,0.04728251060441835,-0.4521437426408132,0.009865999999999996,0.0,0.5,0.3000000000000001,0.0002983919999999999,0.4865695228179296,0.005529968533664942,0.930643743276596,0.5376624445120494,0.03740426950001468,-0.4557470371325811,0.009865999999999996
0,0,0,24120,24120,603,603,8040,8040,59.904471935550994,59.904471935550994,24120,24120,24120,8040,24120,False,3,default,2026-03-08_10-10-51,1772964651,134.21415781974792,378.5673134326935,7,615c6739a8df,172.18.0.2,378.5673134326935,3,603,603,24120,24120,5664.63242355468,5664.63242355468,5664.63242355468,500.0,500,0,1,5664.63242355468,5664.63242355468,5664.63242355468,1,126188.846,0.018,126188.766,125203.521,979.593,205.187,0.003,603,603,24120,24120,3.004918032786885,6.441530054644807,[5664.63242355468],[500],459.42857142857144,105.5,20.5,482.4,75.5,14.5,482.4,75.5,14.5,0.0,0.5,0.45000000000000007,0.00029678399999999997,0.5053767838648388,-0.010001313562194506,0.9887948022002265,0.29787956249146236,0.0376653979044585,-0.41422765240782783,0.009732000000000003,0.0,0.5,0.4499999999999999,0.00029678399999999986,0.5664859096209208,-0.008709128837411602,1.1139494359493256,0.1947357952594757,0.031188459127103368,-0.43007734914620716,0.009732000000000003,0.0,0.5,0.4499999999999999,0.00029678399999999986,0.3782694026827812,-0.007287966646254062,0.7339226146539052,0.7578551332155864,0.03183301561318028,-0.43888303538163503,0.009732000000000003
0,0,0,32160,32160,804,804,8040,8040,60.06796769988123,60.06796769988123,32160,32160,32160,8040,32160,False,4,default,2026-03-08_10-13-06,1772964786,133.84875655174255,512.416069984436,7,615c6739a8df,172.18.0.2,512.416069984436,4,804,804,32160,32160,5664.63242355468,5664.63242355468,5664.63242355468,500.0,500,0,0,5664.63242355468,5664.63242355468,5664.63242355468,0,128103.731,0.019,128103.655,126696.27,1401.169,143.452,0.004,804,804,32160,32160,2.5441340782122905,6.499441340782123,[5664.63242355468],[500],459.42857142857144,147.5,20.5,482.4,105.5,14.5,482.4,105.5,14.5,0.0,0.5,0.675,0.0002951759999999999,0.7902760519867852,-0.012221902121035825,1.5591436936741783,0.22360819578170776,0.028328846143614056,-0.39634672020162853,0.009598,0.0,0.5,0.6750000000000003,0.00029517599999999997,0.7375264724095663,-0.018863757094368338,1.462796934445699,0.2667818347613017,0.03118936906879147,-0.4103902836640676,0.009597999999999999,0.0,0.5,0.6750000000000003,0.00029517599999999997,0.3002716546257337,-0.013082571502309293,0.5753341287374496,0.49370965361595154,0.03206488857904333,-0.4212719351053238,0.009597999999999999
0,0,0,40200,40200,1005,1005,8040,8040,73.78915089816041,73.78915089816041,40200,40200,40200,8040,40200,False,5,default,2026-03-08_10-14-55,1772964895,108.95954012870789,621.3756101131439,7,615c6739a8df,172.18.0.2,621.3756101131439,5,1005,1005,40200,40200,5664.63242355468,5644.293394155425,5654.462908855052,500.0,1000,0,1,5664.63242355468,5644.293394155425,5654.462908855052,1,124274.808,0.018,124274.734,122926.45,1341.959,149.781,0.005,1005,1005,40200,40200,4.071812080536913,6.5,"[5664.63242355468, 5644.293394155425]","[500, 500]",459.42857142857144,189.5,20.5,482.4,135.5,14.5,482.4,135.5,14.5,0.0,0.5,1.0125000000000004,0.0002935679999999999,0.898282181648981,-0.013692828416380854,1.7528322083609444,0.4825517946765536,0.031535955113732986,-0.3834264952512014,0.009464000000000002,0.0,0.5,1.0125,0.0002935679999999999,0.8546377420425415,-0.027297339017968623,1.709153139591217,0.2903700868288676,0.023374390713433967,-0.39010433157285057,0.009464000000000002,0.0,0.5,1.0125,0.0002935679999999999,0.4762649695078532,-0.007816775081058344,0.912419060866038,0.5390862305959065,0.023750183484420026,-0.40417862435181934,0.009464000000000002
0,0,0,48240,48240,1206,1206,8040,8040,72.00075337073771,72.00075337073771,48240,48240,48240,8040,48240,False,6,default,2026-03-08_10-16-47,1772965007,111.6659483909607,733.0415585041046,7,615c6739a8df,172.18.0.2,733.0415585041046,6,1206,1206,48240,48240,5664.63242355468,5644.293394155425,5654.462908855052,500.0,1000,0,0,5664.63242355468,5644.293394155425,5654.462908855052,0,122173.258,0.017,122173.188,120616.574,1550.295,129.653,0.004,1206,1206,48240,48240,4.07682119205298,6.5,"[5664.63242355468, 5644.293394155425]","[500, 500]",459.42857142857144,231.5,20.5,482.4,165.5,14.5,482.4,165.5,14.5,0.0,0.5,1.5187500000000003,0.00029196,0.5671980629364649,-0.020824598614126444,1.1096585662592025,0.3889044125874837,0.01959428465038183,-0.3681207909470513,0.00933,0.0,0.5,1.5187499999999996,0.00029196,0.2194354996085167,-0.028072369967897734,0.43937217593193056,0.49386881788571674,0.01602767979250833,-0.3729630043109258,0.009330000000000001,0.0,0.5,1.5187499999999996,0.00029196,0.8438016831874847,-0.02161069978804638,1.6714192509651185,0.19713490207990012,0.017158721564434622,-0.39045304954051974,0.009330000000000001
0,0,0,56280,56280,1407,1407,8040,8040,60.25624749527203,60.25624749527203,56280,56280,56280,8040,56280,False,7,default,2026-03-08_10-19-00,1772965140,133.43059301376343,866.472151517868,7,615c6739a8df,172.18.0.2,866.472151517868,7,1407,1407,56280,56280,5664.63242355468,5644.293394155425,5654.462908855052,500.0,1000,0,0,5664.63242355468,5644.293394155425,5654.462908855052,0,123781.387,0.017,123781.318,122310.379,1464.558,137.243,0.005,1407,1407,56280,56280,2.598342541436464,6.5,"[5664.63242355468, 5644.293394155425]","[500, 500]",459.42857142857144,273.5,20.5,482.4,195.5,14.5,482.4,195.5,14.5,0.0,0.5,1.5187500000000003,0.000290352,0.6135586556934175,-0.027604235435969064,1.2210346999622526,0.5377108596620106,0.018038470462064044,-0.35337130157720475,0.009195999999999998,0.0,0.5,1.5187499999999996,0.000290352,0.24623136470715204,-0.02098848349414766,0.478711058696111,0.684515380859375,0.01614547550828623,-0.36356903513272604,0.009196,0.0,0.5,1.5187499999999996,0.000290352,1.1162670791149139,-0.01446243394166231,2.187991221745809,0.489351761341095,0.021862917467660736,-0.38381704489390056,0.009196
0,0,0,64320,64320,1608,1608,8040,8040,59.69703641803253,59.69703641803253,64320,64320,64320,8040,64320,False,8,default,2026-03-08_10-21-15,1772965275,134.6807985305786,1001.1529500484467,7,615c6739a8df,172.18.0.2,1001.1529500484467,8,1608,1608,64320,64320,5664.63242355468,4901.478789439489,5403.468202383198,500.0,1500,0,1,5664.63242355468,4901.478789439489,5403.468202383198,1,125143.721,0.017,125143.653,123736.424,1400.576,143.512,0.004,1608,1608,64320,64320,2.6366120218579234,6.5,"[5664.63242355468, 5644.293394155425, 4901.478789439489]","[500, 500, 500]",459.42857142857144,315.5,20.5,482.4,225.5,14.5,482.4,225.5,14.5,0.0,0.5,1.5187500000000003,0.000288744,0.4436040243932179,-0.020873147062957287,0.8768149600142524,0.6482266145093101,0.015157732129279924,-0.33644810177031015,0.009062,0.0,0.5,1.5187499999999996,0.00028874399999999996,0.3779953400293986,-0.02561392365557064,0.7591970960299174,0.4441937486330668,0.013726094236092952,-0.3491728256146113,0.009062000000000004,0.0,0.5,2.2781250000000006,0.00028874399999999996,0.9356970171133677,-0.016292173815115045,1.8288565357526143,0.5873834987481436,0.015022074763449685,-0.36843578616778055,0.009062000000000004
0,0,0,72360,72360,1809,1809,8040,8040,60.28389865357276,60.28389865357276,72360,72360,72360,8040,72360,False,9,default,2026-03-08_10-23-29,1772965409,133.3695628643036,1134.5225129127502,7,615c6739a8df,172.18.0.2,1134.5225129127502,9,1809,1809,72360,72360,5664.63242355468,4901.478789439489,5403.468202383198,500.0,1500,0,0,5664.63242355468,4901.478789439489,5403.468202383198,0,126057.636,0.016,126057.567,124705.127,1345.696,149.365,0.004,1809,1809,72360,72360,2.543646408839779,6.5,"[5664.63242355468, 5644.293394155425, 4901.478789439489]","[500, 500, 500]",459.42857142857144,357.5,20.5,482.4,255.5,14.5,482.4,255.5,14.5,0.0,0.5,1.5187500000000003,0.00028713599999999996,0.26446994748853503,-0.014396093486409103,0.5053865207093102,0.7366899720260075,0.015332794384448789,-0.3232638871385938,0.008928,0.0,0.5,1.5187499999999996,0.00028713600000000006,0.5769853492577871,-0.027214508100102345,1.1586771845817565,0.5363639016946157,0.014348691125633195,-0.34377176662286124,0.008927999999999998,0.0,0.5,2.2781250000000006,0.00028713600000000006,0.4412090400854746,-0.01374484367358188,0.8507841865221659,0.800727250178655,0.011594062608977159,-0.35271756649017333,0.008927999999999998
0,0,0,80400,80400,2010,2010,8040,8040,58.877251003468075,58.877251003468075,80400,80400,80400,8040,80400,False,10,default,2026-03-08_10-25-45,1772965545,136.55583429336548,1271.0783472061157,7,615c6739a8df,172.18.0.2,1271.0783472061157,10,2010,2010,80400,80400,5664.63242355468,4461.180084364384,5167.896172878494,500.0,2000,0,1,5664.63242355468,4461.180084364384,5167.896172878494,1,127107.402,0.016,127107.331,125767.777,1332.713,150.82,0.004,2010,2010,80400,80400,2.7945652173913045,6.501086956521739,"[5664.63242355468, 5644.293394155425, 4901.478789439489, 4461.180084364384]","[500, 500, 500, 500]",459.42857142857144,399.5,20.5,482.4,285.5,14.5,482.4,285.5,14.5,0.0,0.5,1.5187500000000003,0.00028552799999999995,0.24859404563903809,-0.022367844258302023,0.4907268718594596,0.7790603055840447,0.015072708040298451,-0.30779833240168436,0.008794,0.0,0.5,1.5187499999999996,0.000285528,0.6212146997451782,-0.02536028213799,1.2467426816622416,0.5667142490545909,0.013294540788653346,-0.3425692141056061,0.008794,0.0,0.5,2.2781250000000006,0.000285528,0.3125913624962171,-0.007615471495470653,0.5775303373734156,0.8900002539157867,0.012470932739476363,-0.34470341006914773,0.008794
